,AddressID,EmailAddress,AddressLine1,AddressLine2,StateProvinceID,City,PostalCode,SpatialLocation,rowguid,ModifiedDate
0,1,thierry0@adventure-works.com,1970 Napa Ct.,,79,Bothell,98011,b'\xe6\x10\x00\x00\x01\x0c\xae\x8b\xfc(\xbc\xe4G@g\xa8\x91\x89\x89\x8a^\xc0',9AADCB0D-36CF-483F-84D8-585C2D4EC6E9,2007-12-04 00:00:00.000
1,2,vamsi0@adventure-works.com,9833 Mt. Dias Blv.,,79,Bothell,98011,b'\xe6\x10\x00\x00\x01\x0c\xd6\xfa\x85\x1a\xe6\xd7G@\xbc&*\n\x03\x90^\xc0',32A54B9E-E034-4BFB-B573-A71CDE60D8C0,2008-11-30 00:00:00.000
2,3,syed0@adventure-works.com,7484 Roundtree Drive,,79,Bothell,98011,b'\xe6\x10\x00\x00\x01\x0c\x18\xe3\x04\xc4\xad\xe1G@\xda\x93\x0cx\x93\x91^\xc0',4C506923-6D1B-452C-A07C-BAA6F5B142A4,2013-03-07 00:00:00.000
3,4,mikael0@adventure-works.com,9539 Glenside Dr,,79,Bothell,98011,b'\xe6\x10\x00\x00\x01\x0c\x81:\r_\x9f\xdeG@\x11\xa5\xc2\x8a|\x95^\xc0',E5946C78-4BCC-477F-9FA1-CC09DE16A880,2009-02-03 00:00:00.000
4,5,kim0@adventure-works.com,1226 Shoe St.,,79,Bothell,98011,b'\xe6\x10\x00\x00\x01\x0ca\xc6M\x8a\xbb\xd9G@\xc4`\xea?\xd8\x85^\xc0',FBAFF937-4A97-4AF0-81FD-B849900E9BB0,2008-12-19 00:00:00.000
5,6,belinda0@adventure-works.com,1399 Firestone Drive,,79,Bothell,98011,b'\xe6\x10\x00\x00\x01\x0c\xe0\xb4\xe5\x04X\xdaG@/\x12\xa5\xf8\x0c\x97^\xc0',FEBF8191-9804-44C8-877A-33FDE94F0075,2009-02-13 00:00:00.000
6,7,betsy0@adventure-works.com,5672 Hale Dr.,,79,Bothell,98011,b'\xe6\x10\x00\x00\x01\x0c\x18\xe3\x04\xc4\xad\xe1G@\x11\xa5\xc2\x8a|\x95^\xc0',0175A174-6C34-4D41-B3C1-4419CD6A0446,2009-12-11 00:00:00.000
7,8,bob0@adventure-works.com,6387 Scenic Avenue,,79,Bothell,98011,b'\xe6\x10\x00\x00\x01\x0c\x00)\xa5\xd9;\xdfG@\xe2H\x96/\xd5\x97^\xc0',3715E813-4DCA-49E0-8F1C-31857D21F269,2008-12-17 00:00:00.000
8,10,peng0@adventure-works.com,250 Race Court,,79,Bothell,98011,b'\xe6\x10\x00\x00\x01\x0c!\x9dd\xae\x1f\xe4G@@\x86%d\xb7\x82^\xc0',0B6B739D-8EB6-4378-8D55-FE196AF34C04,2008-12-02 00:00:00.000
9,12,calvin20@adventure-works.com,5415 San Gabriel Dr.,,79,Bothell,98011,b'\xe6\x10\x00\x00\x01\x0cj\x80\xadt-\xdcG@\x11\xa5\xc2\x8a|\x95^\xc0',1C2C9CFE-AB9F-4F96-8E1F-D9666B6F7F22,2013-01-05 00:00:00.000
